candidate_id,url,brand,series,source_release_status,live_recheck_date,deployment_evidence,gsc_latest_finalized_date,post_release_finalized_gsc_days,authorization_effect,notes
B0-0293,/บริการ/รับซื้อกล้อง-canon-eos-r-series-อุบล/,Canon,Canon EOS R Series,RELEASED_SOURCE,2026-09-03,BATCH_DEPLOYMENT_NOT_CONFIRMED,2026-08-31,0,BLOCK_W2B,Not individually live-verified; batch-level source deployment is not established.
B0-0296,/บริการ/รับซื้อกล้อง-fujifilm-x-series-อุบล/,Fujifilm,Fujifilm X Series,RELEASED_SOURCE,2026-09-03,BATCH_DEPLOYMENT_NOT_CONFIRMED,2026-08-31,0,BLOCK_W2B,Not individually live-verified; batch-level source deployment is not established.
B0-0290,/บริการ/รับซื้อกล้อง-sony-a7-series-อุบล/,Sony,Sony A7 Series,RELEASED_SOURCE,2026-09-03,LIVE_PARENT_STALE_SOURCE_FINGERPRINT,2026-08-31,0,BLOCK_W2B,Sony parent crawled 2026-09-03; repo contains W2A series-link section but live parent does not.
B0-0292,/บริการ/รับซื้อกล้อง-sony-zv-series-อุบล/,Sony,Sony ZV Series,RELEASED_SOURCE,2026-09-03,LIVE_PARENT_STALE_SOURCE_FINGERPRINT,2026-08-31,0,BLOCK_W2B,Sony parent crawled 2026-09-03; repo contains W2A series-link section but live parent does not.
B0-0251,/บริการ/รับซื้อ-asus-rog-อุบล/,ASUS,ASUS ROG,RELEASED_SOURCE,2026-09-03,LIVE_PARENT_STALE_SOURCE_FINGERPRINT,2026-08-31,0,BLOCK_W2B,ASUS parent crawled 2026-09-03; repo contains W2A series-link section but live parent does not.
B0-0252,/บริการ/รับซื้อ-asus-tuf-อุบล/,ASUS,ASUS TUF Gaming,RELEASED_SOURCE,2026-09-03,LIVE_PARENT_STALE_SOURCE_FINGERPRINT,2026-08-31,0,BLOCK_W2B,ASUS parent crawled 2026-09-03; repo contains W2A series-link section but live parent does not.
B0-0253,/บริการ/รับซื้อ-asus-vivobook-อุบล/,ASUS,ASUS Vivobook,RELEASED_SOURCE,2026-09-03,LIVE_PARENT_STALE_SOURCE_FINGERPRINT,2026-08-31,0,BLOCK_W2B,ASUS parent crawled 2026-09-03; repo contains W2A series-link section but live parent does not.
B0-0256,/บริการ/รับซื้อ-acer-nitro-อุบล/,Acer,Acer Nitro,RELEASED_SOURCE,2026-09-03,BATCH_DEPLOYMENT_NOT_CONFIRMED,2026-08-31,0,BLOCK_W2B,Not individually live-verified; batch-level source deployment is not established.
B0-0272,/บริการ/รับซื้อ-dell-latitude-อุบล/,Dell,Dell Latitude,RELEASED_SOURCE,2026-09-03,BATCH_DEPLOYMENT_NOT_CONFIRMED,2026-08-31,0,BLOCK_W2B,Not individually live-verified; batch-level source deployment is not established.
B0-0266,/บริการ/รับซื้อ-hp-victus-อุบล/,HP,HP Victus,RELEASED_SOURCE,2026-09-03,BATCH_DEPLOYMENT_NOT_CONFIRMED,2026-08-31,0,BLOCK_W2B,Not individually live-verified; batch-level source deployment is not established.
B0-0262,/บริการ/รับซื้อ-lenovo-loq-อุบล/,Lenovo,Lenovo LOQ,RELEASED_SOURCE,2026-09-03,BATCH_DEPLOYMENT_NOT_CONFIRMED,2026-08-31,0,BLOCK_W2B,Not individually live-verified; batch-level source deployment is not established.
B0-0261,/บริการ/รับซื้อ-lenovo-legion-อุบล/,Lenovo,Lenovo Legion,RELEASED_SOURCE,2026-09-03,BATCH_DEPLOYMENT_NOT_CONFIRMED,2026-08-31,0,BLOCK_W2B,Not individually live-verified; batch-level source deployment is not established.
B0-0263,/บริการ/รับซื้อ-lenovo-thinkpad-อุบล/,Lenovo,Lenovo ThinkPad,RELEASED_SOURCE,2026-09-03,BATCH_DEPLOYMENT_NOT_CONFIRMED,2026-08-31,0,BLOCK_W2B,Not individually live-verified; batch-level source deployment is not established.
B0-0278,/บริการ/รับซื้อ-msi-katana-อุบล/,MSI,MSI Katana,RELEASED_SOURCE,2026-09-03,BATCH_DEPLOYMENT_NOT_CONFIRMED,2026-08-31,0,BLOCK_W2B,Not individually live-verified; batch-level source deployment is not established.
B0-0289,/บริการ/รับซื้อ-radeon-rx-7000-series-อุบล/,AMD,AMD Radeon RX 7000 Series,RELEASED_SOURCE,2026-09-03,BATCH_DEPLOYMENT_NOT_CONFIRMED,2026-08-31,0,BLOCK_W2B,Not individually live-verified; batch-level source deployment is not established.
B0-0286,/บริการ/รับซื้อ-rtx-30-series-อุบล/,NVIDIA,NVIDIA RTX 30 Series,RELEASED_SOURCE,2026-09-03,BATCH_DEPLOYMENT_NOT_CONFIRMED,2026-08-31,0,BLOCK_W2B,Not individually live-verified; batch-level source deployment is not established.
B0-0285,/บริการ/รับซื้อ-rtx-40-series-อุบล/,NVIDIA,NVIDIA RTX 40 Series,RELEASED_SOURCE,2026-09-03,BATCH_DEPLOYMENT_NOT_CONFIRMED,2026-08-31,0,BLOCK_W2B,Not individually live-verified; batch-level source deployment is not established.
B0-0284,/บริการ/รับซื้อ-rtx-50-series-อุบล/,NVIDIA,NVIDIA RTX 50 Series,RELEASED_SOURCE,2026-09-03,BATCH_DEPLOYMENT_NOT_CONFIRMED,2026-08-31,0,BLOCK_W2B,Not individually live-verified; batch-level source deployment is not established.
