candidate_id,url,brand,series,core_cluster,parent_url,source_file,title,description,body_nonspace_chars,faq_count,parent_inlink,internal_link_check,release_status,build_status
B0-0293,/บริการ/รับซื้อกล้อง-canon-eos-r-series-อุบล/,Canon,Canon EOS R Series,camera,/บริการ/รับซื้อกล้อง-canon-อุบล/,src/content/services/canon-eos-r-series-ubon.md,รับซื้อ Canon EOS R Series อุบล กล้อง Mirrorless มือสอง,รับซื้อ Canon EOS R Series มือสองในอุบลราชธานี ประเมินตามรุ่น จำนวนชัตเตอร์ สภาพเซนเซอร์ เมาท์ RF จอ EVF ระบบโฟกัส วิดีโอ แบตเตอรี่ และอุปกรณ์,2596,5,PASS,PASS,RELEASED_SOURCE,NOT_REVERIFIED_ENVIRONMENT
B0-0296,/บริการ/รับซื้อกล้อง-fujifilm-x-series-อุบล/,Fujifilm,Fujifilm X Series,camera,/บริการ/รับซื้อกล้อง-fujifilm-อุบล/,src/content/services/fujifilm-x-series-ubon.md,รับซื้อ Fujifilm X Series อุบล กล้องมือสอง,รับซื้อกล้อง Fujifilm X Series มือสองในอุบลราชธานี ประเมินตามรุ่น จำนวนชัตเตอร์ สภาพเซนเซอร์ X-mount จอ EVF ปุ่มหมุน ระบบโฟกัส แบตเตอรี่ และเลนส์,2596,5,PASS,PASS,RELEASED_SOURCE,NOT_REVERIFIED_ENVIRONMENT
B0-0290,/บริการ/รับซื้อกล้อง-sony-a7-series-อุบล/,Sony,Sony A7 Series,camera,/บริการ/รับซื้อกล้อง-sony-อุบล/,src/content/services/sony-a7-series-ubon.md,รับซื้อ Sony A7 Series อุบล กล้อง Full-frame มือสอง,"รับซื้อกล้อง Sony A7 Series มือสองในอุบลราชธานี ประเมิน A7, A7R, A7S, A7C ตามรุ่น จำนวนชัตเตอร์ สภาพเซนเซอร์ จอ EVF ระบบกันสั่น เมาท์ และอุปกรณ์",2609,5,PASS,PASS,RELEASED_SOURCE,NOT_REVERIFIED_ENVIRONMENT
B0-0292,/บริการ/รับซื้อกล้อง-sony-zv-series-อุบล/,Sony,Sony ZV Series,camera,/บริการ/รับซื้อกล้อง-sony-อุบล/,src/content/services/sony-zv-series-ubon.md,รับซื้อ Sony ZV Series อุบล กล้อง Vlog มือสอง,รับซื้อ Sony ZV Series มือสองในอุบลราชธานี เช่น ZV-E และ ZV-1 Series ประเมินตามรุ่น สภาพจอพับ เลนส์/เมาท์ ระบบโฟกัส ไมค์ พอร์ต แบตเตอรี่ และอุปกรณ์,2613,5,PASS,PASS,RELEASED_SOURCE,NOT_REVERIFIED_ENVIRONMENT
B0-0251,/บริการ/รับซื้อ-asus-rog-อุบล/,ASUS,ASUS ROG,notebook,/บริการ/รับซื้อโน้ตบุ๊ก-asus-อุบล/,src/content/services/asus-rog-series-ubon.md,รับซื้อ ASUS ROG อุบลราชธานี โน้ตบุ๊กเกมมิ่งมือสอง,รับซื้อโน้ตบุ๊ก ASUS ROG มือสองในอุบลราชธานี ทั้ง ROG Zephyrus และ ROG Strix ประเมินตามรุ่น CPU GPU RAM SSD สภาพจอ ความร้อน แบตเตอรี่ และ Adapter,2689,5,PASS,PASS,RELEASED_SOURCE,NOT_REVERIFIED_ENVIRONMENT
B0-0252,/บริการ/รับซื้อ-asus-tuf-อุบล/,ASUS,ASUS TUF Gaming,notebook,/บริการ/รับซื้อโน้ตบุ๊ก-asus-อุบล/,src/content/services/asus-tuf-series-ubon.md,รับซื้อ ASUS TUF Gaming อุบล โน้ตบุ๊กเกมมิ่งมือสอง,รับซื้อ ASUS TUF Gaming มือสองในอุบลราชธานี ประเมิน TUF A/F Series ตาม CPU GPU RAM SSD สภาพบานพับ จอ พัดลม อุณหภูมิ แบตเตอรี่ และ Adapter,2586,5,PASS,PASS,RELEASED_SOURCE,NOT_REVERIFIED_ENVIRONMENT
B0-0253,/บริการ/รับซื้อ-asus-vivobook-อุบล/,ASUS,ASUS Vivobook,notebook,/บริการ/รับซื้อโน้ตบุ๊ก-asus-อุบล/,src/content/services/asus-vivobook-series-ubon.md,รับซื้อ ASUS Vivobook อุบล โน้ตบุ๊กมือสองประเมินตามสเปก,"รับซื้อ ASUS Vivobook มือสองในอุบลราชธานี ทั้ง Vivobook 14, 15, 16 และรุ่น OLED ประเมินตาม CPU RAM SSD สภาพจอ แบตเตอรี่ คีย์บอร์ด และอุปกรณ์",2609,5,PASS,PASS,RELEASED_SOURCE,NOT_REVERIFIED_ENVIRONMENT
B0-0256,/บริการ/รับซื้อ-acer-nitro-อุบล/,Acer,Acer Nitro,notebook,/บริการ/รับซื้อโน้ตบุ๊ก-acer-อุบล/,src/content/services/acer-nitro-series-ubon.md,รับซื้อ Acer Nitro อุบล โน้ตบุ๊กเกมมิ่งมือสอง,"รับซื้อ Acer Nitro มือสองในอุบลราชธานี เช่น Nitro 5, Nitro V และ Nitro 16 ประเมินตาม CPU GPU RAM SSD จอ สภาพบานพับ ระบบระบายความร้อน และ Adapter",2567,5,PASS,PASS,RELEASED_SOURCE,NOT_REVERIFIED_ENVIRONMENT
B0-0272,/บริการ/รับซื้อ-dell-latitude-อุบล/,Dell,Dell Latitude,notebook,/บริการ/รับซื้อโน้ตบุ๊ก-dell-อุบล/,src/content/services/dell-latitude-series-ubon.md,รับซื้อ Dell Latitude อุบล โน้ตบุ๊กธุรกิจมือสอง,รับซื้อ Dell Latitude มือสองในอุบลราชธานี ประเมินตาม Service Tag รุ่น CPU RAM SSD แบตเตอรี่ จอ คีย์บอร์ด พอร์ต สถานะ BIOS และอุปกรณ์,2636,5,PASS,PASS,RELEASED_SOURCE,NOT_REVERIFIED_ENVIRONMENT
B0-0266,/บริการ/รับซื้อ-hp-victus-อุบล/,HP,HP Victus,notebook,/บริการ/รับซื้อโน้ตบุ๊ก-hp-อุบล/,src/content/services/hp-victus-series-ubon.md,รับซื้อ HP Victus อุบล โน้ตบุ๊กเกมมิ่งมือสอง,รับซื้อ HP Victus มือสองในอุบลราชธานี ประเมินตาม CPU GPU RAM SSD ขนาดจอ สภาพฝาและบานพับ อุณหภูมิ แบตเตอรี่ และ Adapter,2535,5,PASS,PASS,RELEASED_SOURCE,NOT_REVERIFIED_ENVIRONMENT
