candidate_id,url,series,brand,core_cluster,source_release_status,source_build_status,deployment_status,live_observation,gsc_post_release_finalized_days,gsc_page_signal,observation_status,gate_effect
B0-0293,/บริการ/รับซื้อกล้อง-canon-eos-r-series-อุบล/,Canon EOS R Series,Canon,camera,RELEASED_SOURCE,NOT_REVERIFIED_ENVIRONMENT,NOT_CONFIRMED,NOT_SPOT_CHECKED,0,NO_POST_RELEASE_GSC_DATA,NOT_OBSERVABLE_YET,BLOCK_W2B_AUTHORIZATION
B0-0296,/บริการ/รับซื้อกล้อง-fujifilm-x-series-อุบล/,Fujifilm X Series,Fujifilm,camera,RELEASED_SOURCE,NOT_REVERIFIED_ENVIRONMENT,NOT_CONFIRMED,NOT_SPOT_CHECKED,0,NO_POST_RELEASE_GSC_DATA,NOT_OBSERVABLE_YET,BLOCK_W2B_AUTHORIZATION
B0-0290,/บริการ/รับซื้อกล้อง-sony-a7-series-อุบล/,Sony A7 Series,Sony,camera,RELEASED_SOURCE,NOT_REVERIFIED_ENVIRONMENT,NOT_CONFIRMED,SPOT_CHECK_SEARCH_NO_W2A_RESULT,0,NO_POST_RELEASE_GSC_DATA,NOT_OBSERVABLE_YET,BLOCK_W2B_AUTHORIZATION
B0-0292,/บริการ/รับซื้อกล้อง-sony-zv-series-อุบล/,Sony ZV Series,Sony,camera,RELEASED_SOURCE,NOT_REVERIFIED_ENVIRONMENT,NOT_CONFIRMED,NOT_SPOT_CHECKED,0,NO_POST_RELEASE_GSC_DATA,NOT_OBSERVABLE_YET,BLOCK_W2B_AUTHORIZATION
B0-0251,/บริการ/รับซื้อ-asus-rog-อุบล/,ASUS ROG,ASUS,notebook,RELEASED_SOURCE,NOT_REVERIFIED_ENVIRONMENT,NOT_CONFIRMED,SPOT_CHECK_SEARCH_NO_W2A_RESULT,0,NO_POST_RELEASE_GSC_DATA,NOT_OBSERVABLE_YET,BLOCK_W2B_AUTHORIZATION
B0-0252,/บริการ/รับซื้อ-asus-tuf-อุบล/,ASUS TUF Gaming,ASUS,notebook,RELEASED_SOURCE,NOT_REVERIFIED_ENVIRONMENT,NOT_CONFIRMED,NOT_SPOT_CHECKED,0,NO_POST_RELEASE_GSC_DATA,NOT_OBSERVABLE_YET,BLOCK_W2B_AUTHORIZATION
B0-0253,/บริการ/รับซื้อ-asus-vivobook-อุบล/,ASUS Vivobook,ASUS,notebook,RELEASED_SOURCE,NOT_REVERIFIED_ENVIRONMENT,NOT_CONFIRMED,NOT_SPOT_CHECKED,0,NO_POST_RELEASE_GSC_DATA,NOT_OBSERVABLE_YET,BLOCK_W2B_AUTHORIZATION
B0-0256,/บริการ/รับซื้อ-acer-nitro-อุบล/,Acer Nitro,Acer,notebook,RELEASED_SOURCE,NOT_REVERIFIED_ENVIRONMENT,NOT_CONFIRMED,NOT_SPOT_CHECKED,0,NO_POST_RELEASE_GSC_DATA,NOT_OBSERVABLE_YET,BLOCK_W2B_AUTHORIZATION
B0-0272,/บริการ/รับซื้อ-dell-latitude-อุบล/,Dell Latitude,Dell,notebook,RELEASED_SOURCE,NOT_REVERIFIED_ENVIRONMENT,NOT_CONFIRMED,NOT_SPOT_CHECKED,0,NO_POST_RELEASE_GSC_DATA,NOT_OBSERVABLE_YET,BLOCK_W2B_AUTHORIZATION
B0-0266,/บริการ/รับซื้อ-hp-victus-อุบล/,HP Victus,HP,notebook,RELEASED_SOURCE,NOT_REVERIFIED_ENVIRONMENT,NOT_CONFIRMED,NOT_SPOT_CHECKED,0,NO_POST_RELEASE_GSC_DATA,NOT_OBSERVABLE_YET,BLOCK_W2B_AUTHORIZATION
B0-0262,/บริการ/รับซื้อ-lenovo-loq-อุบล/,Lenovo LOQ,Lenovo,notebook,RELEASED_SOURCE,NOT_REVERIFIED_ENVIRONMENT,NOT_CONFIRMED,NOT_SPOT_CHECKED,0,NO_POST_RELEASE_GSC_DATA,NOT_OBSERVABLE_YET,BLOCK_W2B_AUTHORIZATION
B0-0261,/บริการ/รับซื้อ-lenovo-legion-อุบล/,Lenovo Legion,Lenovo,notebook,RELEASED_SOURCE,NOT_REVERIFIED_ENVIRONMENT,NOT_CONFIRMED,NOT_SPOT_CHECKED,0,NO_POST_RELEASE_GSC_DATA,NOT_OBSERVABLE_YET,BLOCK_W2B_AUTHORIZATION
B0-0263,/บริการ/รับซื้อ-lenovo-thinkpad-อุบล/,Lenovo ThinkPad,Lenovo,notebook,RELEASED_SOURCE,NOT_REVERIFIED_ENVIRONMENT,NOT_CONFIRMED,NOT_SPOT_CHECKED,0,NO_POST_RELEASE_GSC_DATA,NOT_OBSERVABLE_YET,BLOCK_W2B_AUTHORIZATION
B0-0278,/บริการ/รับซื้อ-msi-katana-อุบล/,MSI Katana,MSI,notebook,RELEASED_SOURCE,NOT_REVERIFIED_ENVIRONMENT,NOT_CONFIRMED,NOT_SPOT_CHECKED,0,NO_POST_RELEASE_GSC_DATA,NOT_OBSERVABLE_YET,BLOCK_W2B_AUTHORIZATION
B0-0289,/บริการ/รับซื้อ-radeon-rx-7000-series-อุบล/,AMD Radeon RX 7000 Series,AMD,pc_hardware,RELEASED_SOURCE,NOT_REVERIFIED_ENVIRONMENT,NOT_CONFIRMED,NOT_SPOT_CHECKED,0,NO_POST_RELEASE_GSC_DATA,NOT_OBSERVABLE_YET,BLOCK_W2B_AUTHORIZATION
B0-0286,/บริการ/รับซื้อ-rtx-30-series-อุบล/,NVIDIA RTX 30 Series,NVIDIA,pc_hardware,RELEASED_SOURCE,NOT_REVERIFIED_ENVIRONMENT,NOT_CONFIRMED,NOT_SPOT_CHECKED,0,NO_POST_RELEASE_GSC_DATA,NOT_OBSERVABLE_YET,BLOCK_W2B_AUTHORIZATION
