candidate_id,proposed_url,page_type,cluster,parent_url,commercial_parent,primary_intent,secondary_intents,district,brand,series,model,condition,gsc_evidence,gsc_clicks,gsc_impressions,gsc_position,commercial_value,local_value,topical_value,unique_content,internal_link_value,positive_score,cannibalization_risk,doorway_risk,thin_content_risk,uniqueness_source,required_inlinks,recommended_outlinks,priority,release_wave,status,reason,locked_core_cluster,cluster_lock_state
B0-0001,/บริการ/รับซื้อ-macbook-อุบล/,service,Core/Existing,/บริการ/รับซื้อโน้ตบุ๊ก-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-อุบล/,รับซื้อ MacBook,,,,,,,4,6.0,41.0,7.66,5,4,5,4,3,25,0,0,0,Existing source content.,/บริการ/รับซื้อโน้ตบุ๊ก-อุบล/,,P0,W0,EXISTING_OWNER,PROTECT_WINNER,notebook,LOCKED
B0-0002,/บริการ/รับซื้อโน้ตบุ๊ก-acer-อุบล/,service,Core/Existing,/บริการ/รับซื้อโน้ตบุ๊ก-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-อุบล/,โน้ตบุ๊ก Acer,,,,,,,2,0.0,1.0,16.0,5,4,5,4,3,23,0,0,0,Existing source content.,/บริการ/รับซื้อโน้ตบุ๊ก-อุบล/,,P1,W0,EXISTING_OWNER,KEEP_OWNER,notebook,LOCKED
B0-0003,/บริการ/รับซื้อ-iphone-16-pro-อุบล/,service,Core/Existing,/บริการ/รับซื้อ-iphone-อุบล/,/บริการ/รับซื้อ-iphone-อุบล/,iPhone 16 Pro,,,,,,,2,1.0,4.0,1.25,5,4,5,4,3,23,0,0,0,Existing source content.,/บริการ/รับซื้อ-iphone-อุบล/,,P1,W0,EXISTING_OWNER,KEEP_OWNER,mobile,LOCKED
B0-0004,/บริการ/รับซื้อ-macbook-air-m3-อุบล/,service,Core/Existing,/บริการ/รับซื้อ-macbook-อุบล/,/บริการ/รับซื้อ-macbook-อุบล/,MacBook Air M3,,,,,,,0,0.0,0.0,,5,4,5,4,3,21,0,0,0,Existing source content.,/บริการ/รับซื้อ-macbook-อุบล/,,P1,W0,EXISTING_OWNER,KEEP_OWNER,notebook,LOCKED
B0-0005,/บริการ/รับซื้อ-iphone-16-pro-max-อุบล/,service,Core/Existing,/บริการ/รับซื้อ-iphone-อุบล/,/บริการ/รับซื้อ-iphone-อุบล/,iPhone 16 Pro Max,,,,,,,2,0.0,1.0,17.0,5,4,5,4,3,23,0,0,0,Existing source content.,/บริการ/รับซื้อ-iphone-อุบล/,,P1,W0,EXISTING_OWNER,KEEP_OWNER,mobile,LOCKED
B0-0006,/บริการ/รับซื้อคอมพิวเตอร์-พิบูลมังสาหาร/,service,Core/Existing,/บริการ/,/บริการ/,คอมพิวเตอร์ พิบูล,,,,,,,2,0.0,1.0,11.0,5,4,5,4,3,23,0,0,0,Existing source content.,/บริการ/,,P1,W0,EXISTING_OWNER,KEEP_OWNER,local_existing,LOCKED
B0-0007,/บริการ/รับซื้อ-ipad-mini-อุบล/,service,Core/Existing,/บริการ/รับซื้อ-ipad-อุบล/,/บริการ/รับซื้อ-ipad-อุบล/,iPad mini,,,,,,,2,0.0,1.0,13.0,5,4,5,4,3,23,0,0,0,Existing source content.,/บริการ/รับซื้อ-ipad-อุบล/,,P1,W0,EXISTING_OWNER,KEEP_OWNER,tablet,LOCKED
B0-0008,/บริการ/รับซื้อกล้อง-พิบูลมังสาหาร/,service,Core/Existing,/บริการ/,/บริการ/,กล้อง พิบูล,,,,,,,0,0.0,0.0,,5,4,5,4,3,21,0,0,0,Existing source content.,/บริการ/,,P1,W0,EXISTING_OWNER,KEEP_OWNER,local_existing,LOCKED
B0-0009,/บริการ/รับซื้อ-macbook-มหาวิทยาลัยอุบล/,service,Core/Existing,/บริการ/,/บริการ/,MacBook ม.อุบล,,,,,,,0,0.0,0.0,,5,4,5,4,3,21,0,0,0,Existing source content.,/บริการ/,,P1,W0,EXISTING_OWNER,KEEP_OWNER,local_existing,LOCKED
B0-0010,/บริการ/รับซื้อโดรน-dji-อุบล/,service,Core/Existing,/บริการ/รับซื้อกล้อง-อุบล/,/บริการ/รับซื้อกล้อง-อุบล/,โดรน DJI,,,,,,,2,0.0,2.0,5.0,5,4,5,4,3,23,0,0,0,Existing source content.,/บริการ/รับซื้อกล้อง-อุบล/,,P1,W0,EXISTING_OWNER,KEEP_OWNER,camera,LOCKED
B0-0011,/บริการ/รับซื้อคอมร้านเกม-อุบล/,service,Core/Existing,/บริการ/รับซื้อคอมบริษัท-อุบล/,/บริการ/รับซื้อคอมบริษัท-อุบล/,รับซื้อคอมร้านเกม,,,,,,,2,0.0,1.0,9.0,5,4,5,4,3,23,0,0,0,Existing source content.,/บริการ/รับซื้อคอมบริษัท-อุบล/,,P1,W0,EXISTING_OWNER,KEEP_OWNER,b2b_corporate,LOCKED
B0-0012,/บริการ/รับซื้อการ์ดจอ-อุบล/,service,Core/Existing,/บริการ/รับซื้อ-อะไหล่คอม-อุบล/,/บริการ/รับซื้อ-อะไหล่คอม-อุบล/,รับซื้อการ์ดจอ,,,,,,,2,0.0,1.0,3.0,5,4,5,4,3,23,0,0,0,Existing source content.,/บริการ/รับซื้อ-อะไหล่คอม-อุบล/,,P1,W0,EXISTING_OWNER,KEEP_OWNER,pc_hardware,LOCKED
B0-0013,/บริการ/รับซื้อ-apple-pencil-อุบล/,service,Core/Existing,/บริการ/รับซื้อ-ipad-อุบล/,/บริการ/รับซื้อ-ipad-อุบล/,Apple Pencil,,,,,,,2,0.0,1.0,2.0,5,4,5,4,3,23,0,0,0,Existing source content.,/บริการ/รับซื้อ-ipad-อุบล/,,P1,W0,EXISTING_OWNER,KEEP_OWNER,tablet,LOCKED
B0-0014,/บริการ/รับซื้อ-เครื่องเกม-อุบล/,service,Core/Existing,/บริการ/,/บริการ/,รับซื้อเครื่องเกม,,,,,,,5,20.0,132.0,8.48,5,4,5,4,3,26,0,0,0,Existing source content.,/บริการ/,,P0,W0,EXISTING_OWNER,PROTECT_WINNER,gaming,LOCKED
B0-0015,/บริการ/รับซื้อคอมโรงเรียน-อุบล/,service,Core/Existing,/บริการ/รับซื้อคอมบริษัท-อุบล/,/บริการ/รับซื้อคอมบริษัท-อุบล/,รับซื้อคอมโรงเรียน,,,,,,,0,0.0,0.0,,5,4,5,4,3,21,0,0,0,Existing source content.,/บริการ/รับซื้อคอมบริษัท-อุบล/,,P1,W0,EXISTING_OWNER,KEEP_OWNER,b2b_corporate,LOCKED
B0-0016,/บริการ/รับซื้อ-macbook-air-m2-อุบล/,service,Core/Existing,/บริการ/รับซื้อ-macbook-อุบล/,/บริการ/รับซื้อ-macbook-อุบล/,MacBook Air M2,,,,,,,0,0.0,0.0,,5,4,5,4,3,21,0,0,0,Existing source content.,/บริการ/รับซื้อ-macbook-อุบล/,,P1,W0,EXISTING_OWNER,KEEP_OWNER,notebook,LOCKED
