candidate_id,release_rank,series,brand,core_cluster,proposed_url,selection_decision,authorization_status,authorized_for_source_creation,authorized_for_deploy,blocking_reason,next_gate
B0-0291,1,Sony A6000 Series,Sony,camera,/บริการ/รับซื้อกล้อง-sony-a6000-series-อุบล/,RC_SELECTED_PENDING_W2A_OBSERVATION,NOT_AUTHORIZED_WAIT_FOR_W2A_OBSERVATION,NO,NO,W2A deployment not confirmed and GSC has 0 finalized post-release days.,"Confirm W2A production deployment, collect >=7 finalized GSC days, then rerun Batch 5 authorization."
B0-0297,2,Fujifilm X100 Series,Fujifilm,camera,/บริการ/รับซื้อกล้อง-fujifilm-x100-series-อุบล/,RC_SELECTED_PENDING_W2A_OBSERVATION,NOT_AUTHORIZED_WAIT_FOR_W2A_OBSERVATION,NO,NO,W2A deployment not confirmed and GSC has 0 finalized post-release days.,"Confirm W2A production deployment, collect >=7 finalized GSC days, then rerun Batch 5 authorization."
B0-0288,3,AMD Radeon RX 9000 Series,AMD,pc_hardware,/บริการ/รับซื้อ-radeon-rx-9000-series-อุบล/,RC_SELECTED_PENDING_W2A_OBSERVATION,NOT_AUTHORIZED_WAIT_FOR_W2A_OBSERVATION,NO,NO,W2A deployment not confirmed and GSC has 0 finalized post-release days.,"Confirm W2A production deployment, collect >=7 finalized GSC days, then rerun Batch 5 authorization."
B0-0254,4,ASUS Zenbook,ASUS,notebook,/บริการ/รับซื้อ-asus-zenbook-อุบล/,RC_SELECTED_PENDING_W2A_OBSERVATION,NOT_AUTHORIZED_WAIT_FOR_W2A_OBSERVATION,NO,NO,W2A deployment not confirmed and GSC has 0 finalized post-release days.,"Confirm W2A production deployment, collect >=7 finalized GSC days, then rerun Batch 5 authorization."
B0-0295,5,Nikon Z Series,Nikon,camera,/บริการ/รับซื้อกล้อง-nikon-z-series-อุบล/,RC_SELECTED_PENDING_W2A_OBSERVATION,NOT_AUTHORIZED_WAIT_FOR_W2A_OBSERVATION,NO,NO,W2A deployment not confirmed and GSC has 0 finalized post-release days.,"Confirm W2A production deployment, collect >=7 finalized GSC days, then rerun Batch 5 authorization."
B0-0257,6,Acer Predator,Acer,notebook,/บริการ/รับซื้อ-acer-predator-อุบล/,RC_SELECTED_PENDING_W2A_OBSERVATION,NOT_AUTHORIZED_WAIT_FOR_W2A_OBSERVATION,NO,NO,W2A deployment not confirmed and GSC has 0 finalized post-release days.,"Confirm W2A production deployment, collect >=7 finalized GSC days, then rerun Batch 5 authorization."
B0-0267,7,HP Omen,HP,notebook,/บริการ/รับซื้อ-hp-omen-อุบล/,RC_SELECTED_PENDING_W2A_OBSERVATION,NOT_AUTHORIZED_WAIT_FOR_W2A_OBSERVATION,NO,NO,W2A deployment not confirmed and GSC has 0 finalized post-release days.,"Confirm W2A production deployment, collect >=7 finalized GSC days, then rerun Batch 5 authorization."
B0-0274,8,Dell XPS,Dell,notebook,/บริการ/รับซื้อ-dell-xps-อุบล/,RC_SELECTED_PENDING_W2A_OBSERVATION,NOT_AUTHORIZED_WAIT_FOR_W2A_OBSERVATION,NO,NO,W2A deployment not confirmed and GSC has 0 finalized post-release days.,"Confirm W2A production deployment, collect >=7 finalized GSC days, then rerun Batch 5 authorization."
B0-0265,9,Lenovo Yoga,Lenovo,notebook,/บริการ/รับซื้อ-lenovo-yoga-อุบล/,RC_SELECTED_PENDING_W2A_OBSERVATION,NOT_AUTHORIZED_WAIT_FOR_W2A_OBSERVATION,NO,NO,W2A deployment not confirmed and GSC has 0 finalized post-release days.,"Confirm W2A production deployment, collect >=7 finalized GSC days, then rerun Batch 5 authorization."
B0-0279,10,MSI Cyborg,MSI,notebook,/บริการ/รับซื้อ-msi-cyborg-อุบล/,RC_SELECTED_PENDING_W2A_OBSERVATION,NOT_AUTHORIZED_WAIT_FOR_W2A_OBSERVATION,NO,NO,W2A deployment not confirmed and GSC has 0 finalized post-release days.,"Confirm W2A production deployment, collect >=7 finalized GSC days, then rerun Batch 5 authorization."
