candidate_id,brand,series,proposed_url,parent_url,core_cluster,primary_intent,positive_score,cannibalization_risk,doorway_risk,thin_content_risk,release_wave,foundation_status,release_gate,required_inlinks,recommended_outlinks,reason
B0-0293,Canon,Canon EOS R Series,/บริการ/รับซื้อกล้อง-canon-eos-r-series-อุบล/,/บริการ/รับซื้อกล้อง-canon-อุบล/,camera,รับซื้อ Canon EOS R Series อุบล,25,1,1,1,W2A,RELEASED_PRODUCTION,STATIC_QA_PASS_BUILD_NOT_REVERIFIED,/บริการ/รับซื้อกล้อง-canon-อุบล/,/บริการ/รับซื้อกล้อง-canon-อุบล/; /บริการ/รับซื้อกล้อง-อุบล/,Released in Content/Expansion Batch 3 with unique series-specific content and parent inlink.
B0-0296,Fujifilm,Fujifilm X Series,/บริการ/รับซื้อกล้อง-fujifilm-x-series-อุบล/,/บริการ/รับซื้อกล้อง-fujifilm-อุบล/,camera,รับซื้อ Fujifilm X Series อุบล,25,1,1,1,W2A,RELEASED_PRODUCTION,STATIC_QA_PASS_BUILD_NOT_REVERIFIED,/บริการ/รับซื้อกล้อง-fujifilm-อุบล/,/บริการ/รับซื้อกล้อง-fujifilm-อุบล/; /บริการ/รับซื้อกล้อง-อุบล/,Released in Content/Expansion Batch 3 with unique series-specific content and parent inlink.
B0-0290,Sony,Sony A7 Series,/บริการ/รับซื้อกล้อง-sony-a7-series-อุบล/,/บริการ/รับซื้อกล้อง-sony-อุบล/,camera,รับซื้อ Sony A7 Series อุบล,25,1,1,1,W2A,RELEASED_PRODUCTION,STATIC_QA_PASS_BUILD_NOT_REVERIFIED,/บริการ/รับซื้อกล้อง-sony-อุบล/,/บริการ/รับซื้อกล้อง-sony-อุบล/; /บริการ/รับซื้อกล้อง-อุบล/,Released in Content/Expansion Batch 3 with unique series-specific content and parent inlink.
B0-0292,Sony,Sony ZV Series,/บริการ/รับซื้อกล้อง-sony-zv-series-อุบล/,/บริการ/รับซื้อกล้อง-sony-อุบล/,camera,รับซื้อ Sony ZV Series อุบล,25,1,1,1,W2A,RELEASED_PRODUCTION,STATIC_QA_PASS_BUILD_NOT_REVERIFIED,/บริการ/รับซื้อกล้อง-sony-อุบล/,/บริการ/รับซื้อกล้อง-sony-อุบล/; /บริการ/รับซื้อกล้อง-อุบล/,Released in Content/Expansion Batch 3 with unique series-specific content and parent inlink.
B0-0251,ASUS,ASUS ROG,/บริการ/รับซื้อ-asus-rog-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-asus-อุบล/,notebook,รับซื้อ ASUS ROG อุบล,25,1,1,1,W2A,RELEASED_PRODUCTION,STATIC_QA_PASS_BUILD_NOT_REVERIFIED,/บริการ/รับซื้อโน้ตบุ๊ก-asus-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-asus-อุบล/; /บริการ/รับซื้อโน้ตบุ๊ก-อุบล/,Released in Content/Expansion Batch 3 with unique series-specific content and parent inlink.
B0-0252,ASUS,ASUS TUF Gaming,/บริการ/รับซื้อ-asus-tuf-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-asus-อุบล/,notebook,รับซื้อ ASUS TUF Gaming อุบล,25,1,1,1,W2A,RELEASED_PRODUCTION,STATIC_QA_PASS_BUILD_NOT_REVERIFIED,/บริการ/รับซื้อโน้ตบุ๊ก-asus-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-asus-อุบล/; /บริการ/รับซื้อโน้ตบุ๊ก-อุบล/,Released in Content/Expansion Batch 3 with unique series-specific content and parent inlink.
B0-0253,ASUS,ASUS Vivobook,/บริการ/รับซื้อ-asus-vivobook-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-asus-อุบล/,notebook,รับซื้อ ASUS Vivobook อุบล,25,1,1,1,W2A,RELEASED_PRODUCTION,STATIC_QA_PASS_BUILD_NOT_REVERIFIED,/บริการ/รับซื้อโน้ตบุ๊ก-asus-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-asus-อุบล/; /บริการ/รับซื้อโน้ตบุ๊ก-อุบล/,Released in Content/Expansion Batch 3 with unique series-specific content and parent inlink.
B0-0256,Acer,Acer Nitro,/บริการ/รับซื้อ-acer-nitro-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-acer-อุบล/,notebook,รับซื้อ Acer Nitro อุบล,25,1,1,1,W2A,RELEASED_PRODUCTION,STATIC_QA_PASS_BUILD_NOT_REVERIFIED,/บริการ/รับซื้อโน้ตบุ๊ก-acer-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-acer-อุบล/; /บริการ/รับซื้อโน้ตบุ๊ก-อุบล/,Released in Content/Expansion Batch 3 with unique series-specific content and parent inlink.
B0-0272,Dell,Dell Latitude,/บริการ/รับซื้อ-dell-latitude-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-dell-อุบล/,notebook,รับซื้อ Dell Latitude อุบล,25,1,1,1,W2A,RELEASED_PRODUCTION,STATIC_QA_PASS_BUILD_NOT_REVERIFIED,/บริการ/รับซื้อโน้ตบุ๊ก-dell-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-dell-อุบล/; /บริการ/รับซื้อโน้ตบุ๊ก-อุบล/,Released in Content/Expansion Batch 3 with unique series-specific content and parent inlink.
B0-0266,HP,HP Victus,/บริการ/รับซื้อ-hp-victus-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-hp-อุบล/,notebook,รับซื้อ HP Victus อุบล,25,1,1,1,W2A,RELEASED_PRODUCTION,STATIC_QA_PASS_BUILD_NOT_REVERIFIED,/บริการ/รับซื้อโน้ตบุ๊ก-hp-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-hp-อุบล/; /บริการ/รับซื้อโน้ตบุ๊ก-อุบล/,Released in Content/Expansion Batch 3 with unique series-specific content and parent inlink.
B0-0262,Lenovo,Lenovo LOQ,/บริการ/รับซื้อ-lenovo-loq-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-lenovo-อุบล/,notebook,รับซื้อ Lenovo LOQ อุบล,25,1,1,1,W2A,RELEASED_PRODUCTION,STATIC_QA_PASS_BUILD_NOT_REVERIFIED,/บริการ/รับซื้อโน้ตบุ๊ก-lenovo-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-lenovo-อุบล/; /บริการ/รับซื้อโน้ตบุ๊ก-อุบล/,Released in Content/Expansion Batch 3 with unique series-specific content and parent inlink.
B0-0261,Lenovo,Lenovo Legion,/บริการ/รับซื้อ-lenovo-legion-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-lenovo-อุบล/,notebook,รับซื้อ Lenovo Legion อุบล,25,1,1,1,W2A,RELEASED_PRODUCTION,STATIC_QA_PASS_BUILD_NOT_REVERIFIED,/บริการ/รับซื้อโน้ตบุ๊ก-lenovo-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-lenovo-อุบล/; /บริการ/รับซื้อโน้ตบุ๊ก-อุบล/,Released in Content/Expansion Batch 3 with unique series-specific content and parent inlink.
B0-0263,Lenovo,Lenovo ThinkPad,/บริการ/รับซื้อ-lenovo-thinkpad-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-lenovo-อุบล/,notebook,รับซื้อ Lenovo ThinkPad อุบล,25,1,1,1,W2A,RELEASED_PRODUCTION,STATIC_QA_PASS_BUILD_NOT_REVERIFIED,/บริการ/รับซื้อโน้ตบุ๊ก-lenovo-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-lenovo-อุบล/; /บริการ/รับซื้อโน้ตบุ๊ก-อุบล/,Released in Content/Expansion Batch 3 with unique series-specific content and parent inlink.
B0-0278,MSI,MSI Katana,/บริการ/รับซื้อ-msi-katana-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-msi-อุบล/,notebook,รับซื้อ MSI Katana อุบล,25,1,1,1,W2A,RELEASED_PRODUCTION,STATIC_QA_PASS_BUILD_NOT_REVERIFIED,/บริการ/รับซื้อโน้ตบุ๊ก-msi-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-msi-อุบล/; /บริการ/รับซื้อโน้ตบุ๊ก-อุบล/,Released in Content/Expansion Batch 3 with unique series-specific content and parent inlink.
B0-0289,AMD,AMD Radeon RX 7000 Series,/บริการ/รับซื้อ-radeon-rx-7000-series-อุบล/,/บริการ/รับซื้อการ์ดจอ-อุบล/,pc_hardware,รับซื้อ AMD Radeon RX 7000 Series อุบล,25,1,1,1,W2A,RELEASED_PRODUCTION,STATIC_QA_PASS_BUILD_NOT_REVERIFIED,/บริการ/รับซื้อการ์ดจอ-อุบล/,/บริการ/รับซื้อการ์ดจอ-อุบล/; /บทความ/gpu-second-hand/,Released in Content/Expansion Batch 3 with unique series-specific content and parent inlink.
B0-0286,NVIDIA,NVIDIA RTX 30 Series,/บริการ/รับซื้อ-rtx-30-series-อุบล/,/บริการ/รับซื้อ-rtx-อุบล/,pc_hardware,รับซื้อ NVIDIA RTX 30 Series อุบล,25,1,1,1,W2A,RELEASED_PRODUCTION,STATIC_QA_PASS_BUILD_NOT_REVERIFIED,/บริการ/รับซื้อ-rtx-อุบล/,/บริการ/รับซื้อการ์ดจอ-อุบล/; /บทความ/gpu-second-hand/,Released in Content/Expansion Batch 3 with unique series-specific content and parent inlink.
B0-0285,NVIDIA,NVIDIA RTX 40 Series,/บริการ/รับซื้อ-rtx-40-series-อุบล/,/บริการ/รับซื้อ-rtx-อุบล/,pc_hardware,รับซื้อ NVIDIA RTX 40 Series อุบล,25,1,1,1,W2A,RELEASED_PRODUCTION,STATIC_QA_PASS_BUILD_NOT_REVERIFIED,/บริการ/รับซื้อ-rtx-อุบล/,/บริการ/รับซื้อการ์ดจอ-อุบล/; /บทความ/gpu-second-hand/,Released in Content/Expansion Batch 3 with unique series-specific content and parent inlink.
B0-0284,NVIDIA,NVIDIA RTX 50 Series,/บริการ/รับซื้อ-rtx-50-series-อุบล/,/บริการ/รับซื้อ-rtx-อุบล/,pc_hardware,รับซื้อ NVIDIA RTX 50 Series อุบล,25,1,1,1,W2A,RELEASED_PRODUCTION,STATIC_QA_PASS_BUILD_NOT_REVERIFIED,/บริการ/รับซื้อ-rtx-อุบล/,/บริการ/รับซื้อการ์ดจอ-อุบล/; /บทความ/gpu-second-hand/,Released in Content/Expansion Batch 3 with unique series-specific content and parent inlink.
B0-0297,Fujifilm,Fujifilm X100 Series,/บริการ/รับซื้อกล้อง-fujifilm-x100-series-อุบล/,/บริการ/รับซื้อกล้อง-fujifilm-อุบล/,camera,รับซื้อ Fujifilm X100 Series อุบล,25,1,1,1,W2B,RC_SELECTED,PENDING_W2A_OBSERVATION,/บริการ/รับซื้อกล้อง-fujifilm-อุบล/,/บริการ/รับซื้อกล้อง-fujifilm-อุบล/; /บริการ/รับซื้อกล้อง-อุบล/,Batch 4 RC selected; quality gate passed. Do not release until W2A observation/deployment gate is satisfied.
B0-0295,Nikon,Nikon Z Series,/บริการ/รับซื้อกล้อง-nikon-z-series-อุบล/,/บริการ/รับซื้อกล้อง-nikon-อุบล/,camera,รับซื้อ Nikon Z Series อุบล,25,1,1,1,W2B,RC_SELECTED,PENDING_W2A_OBSERVATION,/บริการ/รับซื้อกล้อง-nikon-อุบล/,/บริการ/รับซื้อกล้อง-nikon-อุบล/; /บริการ/รับซื้อกล้อง-อุบล/,Batch 4 RC selected; quality gate passed. Do not release until W2A observation/deployment gate is satisfied.
B0-0291,Sony,Sony A6000 Series,/บริการ/รับซื้อกล้อง-sony-a6000-series-อุบล/,/บริการ/รับซื้อกล้อง-sony-อุบล/,camera,รับซื้อ Sony A6000 Series อุบล,25,1,1,1,W2B,RC_SELECTED,PENDING_W2A_OBSERVATION,/บริการ/รับซื้อกล้อง-sony-อุบล/,/บริการ/รับซื้อกล้อง-sony-อุบล/; /บริการ/รับซื้อกล้อง-อุบล/,Batch 4 RC selected; quality gate passed. Do not release until W2A observation/deployment gate is satisfied.
